YoksisId,Ad,KisaAd,Tur,UstYoksisId,Durum,AdIng,EnumBirimTuru,THE,QS,IliskiliYoksisId
107292,UYGULAMALI İSTATİSTİK ANABİLİM DALI,UYGULAMAL,Anabilim Dalı,107290,Aktif,DEPARTMENT OF APPLIED STATISTICS,11,107,NULL,0
107293,İSTATİSTİK TEORİSİ ANABİLİM DALI,İSTATİSTİ,Anabilim Dalı,107290,Aktif,DEPARTMENT OF THEORY OF STATISTICS,11,107,NULL,0
107294,OLASILIK TEORİSİ VE OLASILIK SÜREÇLERİ ANABİLİM DALI,"OLASILIK ",Anabilim Dalı,107290,Aktif,DEPARTMENT OF PROBABILITY THEORY AND PROCESSES,11,107,NULL,0
107295,YÖNEYLEM ARAŞTIRMA ANABİLİM DALI,"YÖNEYLEM ",Anabilim Dalı,107290,Aktif,DEPARTMENT OF OPERATIONAL RESEARCH,11,108,NULL,0
107296,RİSK ANALİZİ ANABİLİM DALI,RİSK ANAL,Anabilim Dalı,107290,Aktif,DEPARTMENT OF RISK ANALYSIS,11,108,NULL,0
107297,KİMYA BÖLÜMÜ,KİMYA BÖL,Bölüm,107271,Aktif,DEPARTMENT OF CHEMISTRY,10,107,NULL,0
107298,ANALİTİK KİMYA ANABİLİM DALI,"ANALİTİK ",Anabilim Dalı,107297,Aktif,"DEPARTMENT OF ANALYTICAL CHEMISTRY (FACULTY OF SCIENCE, SCIENCE-LITERATURE, BASIC SCIENCES)",11,107,NULL,0
107299,ANORGANİK KİMYA ANABİLİM DALI,ANORGANİK,Anabilim Dalı,107297,Aktif,DEPARTMENT OF INORGANIC CHEMISTRY,11,107,NULL,0
107300,BİYOKİMYA ANABİLİM DALI,BİYOKİMYA,Anabilim Dalı,107297,Aktif,DEPARTMENT OF BIOCHEMISTRY,11,106,NULL,0
107301,FİZİKOKİMYA ANABİLİM DALI,FİZİKOKİM,Anabilim Dalı,107297,Aktif,DEPARTMENT OF PHYSICAL CHEMISTRY,11,107,NULL,0
107302,ORGANİK KİMYA ANABİLİM DALI,ORGANİK K,Anabilim Dalı,107297,Aktif,"DEPARTMENT OF ORGANIC CHEMISTRY (SCIENCE, FACULTY OF SCIENCE AND LITERATURE, FACULTY OF BASIC SCIENCES)",11,107,NULL,0
107303,MATEMATİK BÖLÜMÜ,MATEMATİK,Bölüm,107271,Aktif,DEPARTMENT OF MATHEMATICS,10,107,NULL,0
107304,CEBİR VE SAYILAR TEORİSİ ANABİLİM DALI,"CEBİR VE ",Anabilim Dalı,107303,Aktif,DEPARTMENT OF ALGEBRA AND NUMBER THEORY,11,107,NULL,0
107305,ANALİZ VE FONKSİYONLAR TEORİSİ ANABİLİM DALI,ANALİZ VE,Anabilim Dalı,107303,Aktif,DEPARTMENT OF ANALYSIS AND THEORY OF FUNCTIONS,11,107,NULL,0
107306,GEOMETRİ ANABİLİM DALI,"GEOMETRİ ",Anabilim Dalı,107303,Aktif,DEPARTMENT OF GEOMETRY,11,107,NULL,0
107307,TOPOLOJİ ANABİLİM DALI,"TOPOLOJİ ",Anabilim Dalı,107303,Aktif,DEPARTMENT OF TOPOLOGY,11,107,NULL,0
107308,UYGULAMALI MATEMATİK ANABİLİM DALI,UYGULAMAL,Anabilim Dalı,107303,Aktif,DEPARTMENT OF APPLIED MATHEMATICS,11,107,NULL,0
107309,TARİH BÖLÜMÜ,TARİH BÖL,Bölüm,107271,Aktif,DEPARTMENT OF HISTORY,10,101,NULL,0
107310,ESKİÇAĞ TARİHİ ANABİLİM DALI,ESKİÇAĞ T,Anabilim Dalı,107309,Aktif,DEPARTMENT OF ANCIENT HISTORY,11,101,NULL,0
107311,TÜRKİYE CUMHURİYETİ TARİHİ ANABİLİM DALI,TÜRKİYE C,Anabilim Dalı,107309,Aktif,DEPARTMENT OF HISTORY OF THE REPUBLIC OF TURKEY,11,101,NULL,0
107312,YAKINÇAĞ TARİHİ ANABİLİM DALI,"YAKINÇAĞ ",Anabilim Dalı,107309,Aktif,DEPARTMENT OF MODERN HISTORY,11,101,NULL,0
107313,YENİÇAĞ TARİHİ ANABİLİM DALI,YENİÇAĞ T,Anabilim Dalı,107309,Aktif,DEPARTMENT OF EARLY MODERN HISTORY,11,101,NULL,0
107314,TÜRK DİLİ VE EDEBİYATI BÖLÜMÜ,TÜRK DİLİ,Bölüm,107271,Aktif,DEPARTMENT OF TURKISH LANGUAGE AND LITERATURE,10,101,NULL,0
107315,ESKİ TÜRK DİLİ ANABİLİM DALI,ESKİ TÜRK,Anabilim Dalı,107314,Aktif,DEPARTMENT OF CLASSICAL TURKISH LANGUAGE,11,101,NULL,0
